country, slug
Indonesia, indonesia
Jersey, jersey
Malaysia, malaysia
Albania, albania
Ethiopia, ethiopia
Burundi, burundi
Colombia, colombia
Faroe Islands, faroe-islands
French Polynesia, french-polynesia
Hong Kong, SAR China, hong-kong-sar-china
Philippines, philippines
Portugal, portugal
Timor-Leste, timor-leste
Bangladesh, bangladesh
Uruguay, uruguay
Palestinian Territory, palestine
Saint Vincent and Grenadines, saint-vincent-and-the-grenadines
Guam, guam
Mauritania, mauritania
Cyprus, cyprus
Denmark, denmark
Finland, finland
Lebanon, lebanon
Azerbaijan, azerbaijan
Kuwait, kuwait
Cuba, cuba
Fiji, fiji
Saudi Arabia, saudi-arabia
Somalia, somalia
Macao, SAR China, macao-sar-china
Netherlands, netherlands
Nigeria, nigeria
Poland, poland
Dominican Republic, dominican-republic
Liechtenstein, liechtenstein
Nauru, nauru
Panama, panama
Republic of Kosovo, kosovo
Tunisia, tunisia
Brunei Darussalam, brunei
Mexico, mexico
Réunion, réunion
Latvia, latvia
Angola, angola
Ecuador, ecuador
French Guiana, french-guiana
Saint Pierre and Miquelon, saint-pierre-and-miquelon
Tonga, tonga
Afghanistan, afghanistan
Niger, niger
Niue, niue
Oman, oman
Peru, peru
Serbia, serbia
Swaziland, swaziland
United States of America, united-states
Libya, libya
Pakistan, pakistan
ALA Aland Islands, ala-aland-islands
Ukraine, ukraine
Jordan, jordan
Cambodia, cambodia
Japan, japan
Singapore, singapore
Sudan, sudan
Switzerland, switzerland
Vanuatu, vanuatu
Mali, mali
Monaco, monaco
Saint-Barthélemy, saint-barthélemy
Saint-Martin (French part), saint-martin-french-part
Sri Lanka, sri-lanka
Belarus, belarus
Belgium, belgium
Saint Lucia, saint-lucia
Nepal, nepal
Brazil, brazil
Bhutan, bhutan
Bulgaria, bulgaria
Slovakia, slovakia
Cameroon, cameroon
Saint Kitts and Nevis, saint-kitts-and-nevis
South Africa, south-africa
